Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,lineupset,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,lineprisco,linest,linecovers,lineatom,linewhatif,linewann,linegabe,linedwig,lineppros,linegametime,linepickle,linecrunch,linensr,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linecover81,linestd,linegrn,lineherald,linejwilson,week,hscore,rscore
Buffalo,Miami,-3,1.4,-3.08,-0.25,-1.34,-0.75,-2,-1,8.11,-9.28,-1,2.5,-3.86,-5.38,0.55,2.94,1.56,-1,-2.54,2.46,-2.33,3.17,-2,-3,,,1.4,1.4,1.42,,-2,2,,,1.55,,1.2,-6,,-0.02,,-3.74,-1,-2.5,2.2,-2,-7.1,3.7,0.25,1.8,,-1,-3.3,0.61,-1,,-2.5,2.1,,-1.5,-1.6,,1,4.06,4.46,0.81,4.2,-2.38,-2.4,-3,3.2766306949,,,,1,10,15
Chicago,Detroit,6.5,12.96,11.79,11,11.46,9.36,8,8,18.24,9.62,3,2.5,4.71,6.62,9.51,13.02,8.76,6,6.75,11.89,5.96,9.45,17,7,,,12.96,12.96,11.97,,7.5,10,,,12.35,,4.6,9,,3.35,,8.05,9.57,11.7,13,11,5.8,14.3,7.25,10.53,,12.5,8.9,8.28,9,,7,-5.1,,6,13.8,,7.3,16.89,13.88,9.51,3.5,10.38,7.08,10,3.6041580388,,,,1,19,14
Houston,Indianapolis,-2.5,-5.16,-0.15,-2,-4.1,-1.31,0,-2,2.88,-9.28,3,2.5,-4.2,-10.58,0.76,2.6,1.37,-2,-3.2,-0.13,-3.23,-13.64,0.01,-2.5,,,-5.16,-5.16,-0.04,,-3,-7,,,-0.71,,0.5,2,,-4.58,,-4.29,-1.44,-2.2,0.01,0.01,-4.1,5.3,-2.75,-4.12,,-3,-1.3,-0.53,4,,-1.5,17.2,,-0.5,-4.2,,-0.1,-2.22,0.75,-1.38,-7.5,2.92,-1.65,-4,3.3294882905,,,,1,34,24
Jacksonville,Denver,3,2.15,-2.84,1,-3.39,0.03,1,2,-7.06,-0.78,3,2.5,0.6,0.12,-1.42,1.53,0.14,1,-3.06,0.21,-3.27,-1.24,1,2.5,,,2.15,2.15,2.18,,2,3,,,0.1,,1.3,-4,,1.93,,-6.1,0.45,-4.3,2.5,0.01,0.3,3.5,-1.25,2.96,,-1.5,1.1,0.39,-1,,2,3.3,,3.5,-9.7,,-0.9,3.96,-2.23,2.6,-2.5,-0.94,2.48,0,2.3747538903,,,,1,24,17
Kansas City,San Diego,-4.5,-9.05,-7.64,-7,-17.42,-8.92,-10,-7,-8.15,-13.58,-3,2.5,-17.38,-12.98,-7.85,-6.37,-4.94,-8,-13.59,-6.4,-12.66,-18.75,-14,-5.5,,,-9.05,-9.05,-9.52,,-6,-10,,,-7.35,,-5.6,-6,,-8.02,,-14.66,-7.98,-15.2,-8.8,-11,-8.1,-7,-8.25,-7.95,,-12,-7.5,-5.52,-13,,-5.5,-4.9,,-1.5,-11.6,,-4,-10.78,-6.77,-5.4,-2.9,-6.65,-5.7,-6,3.9056273169,,,,1,21,14
N.Y. Giants,Carolina,6.5,4.59,-1.64,2,-0.13,2.33,3,7,13.69,8.72,3,2.5,8.82,7.62,1.63,-7.1,2.3,1,2.6,-0.77,3.53,1.48,-3,6,,,4.59,4.59,-4.71,,6.5,4,,,-0.56,,2.2,8,,3.48,,-2.79,2.55,1.1,-2.9,3,4,-18.4,6.75,4.16,,0.01,1.5,0.99,-1,,7,7.1,,4,6.1,,3.6,-1.72,7.4,1.12,-9.5,2.33,7.06,6,5.1965080073,,,,1,31,18
N.Y. Jets,Baltimore,2,1.24,4.26,-0.25,1.22,1.5,1,2,2.42,0.32,1,2.5,0.03,1.02,2.79,4.87,2.53,1,-0.19,3.7,-0.34,-3.79,2,2,,,1.24,1.24,4.5,,3,4,,,2.72,,0.1,3,,1.93,,-2.62,2,0.5,5.3,2,2.8,6.2,2.75,0.28,,-1,3.1,1.37,-4,,2.5,-9.4,,3,-3.3,,1.2,8.26,2.78,3.13,7.1,1.36,4.21,0,2.0863625132,,,,1,9,10
New England,Cincinnati,4.5,11.18,5.63,7,12.41,6.9,6,6,3.56,3.32,1,2.5,1.47,8.92,7.93,6.15,6.41,3,7.82,7.33,7.75,12.3,11,5,,,11.18,11.18,7.95,,5.5,6,,,7.73,,3.9,12,,1.65,,4.29,7,13.3,7.9,10,1.6,9.7,4.25,8.95,,8,8.5,7.51,-1,,5,17,,5.5,7,,2.5,5.4,3.99,4.42,5,6.35,5.33,6,3.4004054551,,,,1,38,24
New Orleans,Minnesota,5.5,4.23,3.08,3,8.69,4.36,3,5,16.03,4.62,7,2.5,3.03,5.42,3.04,3.83,3.44,1,7.47,5.65,7.63,11.77,4,5.5,,,4.23,4.23,2.65,,4.5,7,,,5.52,,5,2,,4.59,,-0.4,4.23,4.2,6.3,3,4,0.7,6.25,2.09,7,5,5.7,3.84,6,,4,6.2,,4.5,2.5,,5.6,8.19,9.73,3.42,6.7,5.15,4.5,3,2.7352425941,,,,1,14,9
Philadelphia,Green Bay,-3,5.28,-0.03,5,1.44,0.51,-1,-1,2.49,-3.38,-1,2.5,-4.19,-4.38,0.1,-1.4,0.7,1,4.29,2.47,4.38,3.05,-2,-2.5,,,5.28,5.28,0.49,,1,-2,,,1.91,,-0.8,8,,4.79,,-5.9,0.65,0.6,2.6,3,-2.9,-5.1,1.25,-0.58,,4,2.5,1.34,-1,,0.01,-3.9,,2,-6.5,,-2,6.68,3.35,4.21,-1,1.92,-0.84,-4,3.1385423131,,,,1,20,27
