Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linegrid,linesage,linesagp,linejfm,lineimes,lineopen,linegrinder,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linepugh,linest,linecovers,lineatom,linewhatif,linedwig,lineppros,linegametime,linepickle,linecrunch,linensr,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linecover81,linerwp,linebmc,linepi1,linepi2,linepi3,linebaldwin,linestd,week,hscore,rscore,year
Arizona,Carolina,6.5,2.72,3.14,3,2.6,5.04,4,7,8.5,9.02,10,2,9.92,8.13,6.19,2.14,6.24,3,5.11,,4.66,9.08,2,6.5,,,2.72,2.72,4.45,,3,6,,,3.34,,8,8,,3.99,,,4.28,3.5,4.1,3,9.5,0.2,4.75,2.14,1.95,5.5,7.5,,-1,3.2,5.23,5,10,1.9,,18.36,5.78,3.05,4.4,3.92,5.64,,0.32,8.81,8.4,11.4,14.1,3.83,3.662494821,1,28,21,2011
Baltimore,Pittsburgh,1.5,1.87,-0.82,2,2.64,0.77,0,2,2.4,1.22,-3,2,5.49,-0.06,0.99,1.09,1.56,-1,-0.31,,0.01,1,3,1.5,,,1.87,1.87,2.5,,2.5,1.5,,,0.97,,1,3,,2.79,,,1.05,-0.3,3.3,1,1.3,-0.5,-1.25,1.47,2.46,1,2,,-6,0.2,0.92,3,-11.9,-0.3,,-2.13,2.72,3.04,-1.4,-0.12,1.39,,0.15,-0.22,-2.9,0.01,0.01,-1.74,2.6336168376,1,35,7,2011
Chicago,Atlanta,-2,1.48,-0.35,1,-2.15,0.2,2,1,0.5,-2.18,3,2,-4.6,-2.56,1.36,3.17,1.72,-2,1.06,,0.5,-3.28,3,-1.5,,,1.48,1.48,2.77,,1,-1.5,,,0.87,,1.5,-3,,-0.03,,,0.84,0.6,3.2,0.01,-2.9,9.2,-0.75,1.8,0.06,0.5,-2.5,,1,8.3,-1.26,2,-6,3.5,,1.24,0.81,1.11,0.8,2.27,-1.68,,-0.87,-5.92,-2.6,-3.7,-3.7,3.94,2.7462725683,1,30,12,2011
Cleveland,Cincinnati,6.5,0.52,1.42,1,-0.87,2.88,3,5,-1.6,4.62,10,2,7.07,6.84,3.02,-0.95,2.95,3,1.45,,1,1.33,0.01,5.5,,,0.52,0.52,1.22,,3,5,,,0.97,,3.5,5,,2.58,,,2.68,3.1,4.9,1,6.6,-9,4.25,4.05,0.52,2,5.5,,10,14.5,2.76,4,-3.1,8,,-15.82,0.04,1.68,0.8,2.41,6.36,,2.29,4.94,2.1,4.1,4.2,-3.14,4.2071581671,1,17,27,2011
Denver,Oakland,3,3.34,-3.79,3,-7.12,-0.86,-5,2,-12.4,-1.18,7,2,5.58,-0.06,-3.22,-7.89,-2.24,-1,-8.13,,-2,-9.03,-8,3,,,3.34,3.34,-3.89,,1,2.5,,,-2.41,,1.9,2,,-4.17,,,-0.46,-5.2,-2,3,0.3,-12.4,-0.75,1.34,1.84,-6,2,,1,16.3,-5.04,2,-15.2,0.8,,-36.36,-6.84,-1.27,-5.1,-3.25,2.92,,-3.83,-2.8,-1,2.5,2.5,-0.17,6.7419534319,1,20,23,2011
Green Bay,New Orleans,4.5,5.99,7.61,5,6.46,6.6,7,6,17,6.62,14,2,1.77,5.44,7,13.24,6.37,2,11.99,,10.5,9.42,13,4.5,,,5.99,5.99,9.73,,5.5,4.5,,,10.1,,4.8,3,,4.02,,,5.99,12,9.5,3,8,21.5,5.25,6.67,6.71,11,5.5,,3,-2.6,5.76,4,10,5.1,,20.54,11.59,6.19,10,4.29,3.28,,4.57,8.16,3.1,4.4,4.8,3.9,4.3601420106,1,42,34,2011
Houston,Indianapolis,9,-3.83,-1.38,0.25,-3.43,1.7,2,2,-12,7.52,6,2,7.01,7.64,-0.08,-0.69,0.51,3,-2.63,,-4.95,-0.73,1,8,,,-3.83,-3.83,-1.32,,-1,0.01,,,-1.62,,3.6,5,,-3.06,,,0.8,-4.5,0.6,5,8.2,-0.6,3.25,2.25,-2.5,-1.5,3,,3,20.8,1.83,6,10,8.6,,-34.17,-6.33,-0.66,-2.7,1.1,6.57,,-4.16,5.83,1,0.4,1.8,0.58,6.5369089295,1,34,7,2011
Jacksonville,Tennessee,-1.5,0.53,3.07,-0.25,-2.05,1.14,2,3,9.2,1.92,16,2,5.93,2.94,-0.4,1.37,0.25,1,-2.94,,2.5,-3.09,1,-1,,,0.53,0.53,3.38,,2.5,2.5,,,0.62,,1.4,4,,3.45,,,1.4,-3.3,3.3,-2,-0.2,1.9,-1.75,1.91,-3.26,-2.5,2.5,,-10,-12.7,7.81,3,7,1.2,,10.55,7.26,5.31,-3.2,2.47,3.03,,-1.86,4.93,1.4,3.3,6,0.68,4.0353165145,1,16,14,2011
Kansas City,Buffalo,4,1.04,7.42,1,3.14,5.51,4,8,13.1,12.62,6,2,4.51,11.84,9.62,0.17,7.86,5,4.24,,0.75,4.78,5,4,,,1.04,1.04,5.94,,7,5.5,,,2.71,,7,7,,1.56,,,5,4.2,2.4,2,7,3.5,5.25,1.99,1.53,8,7.5,,14,1.2,5.28,5,5,3.5,,5.12,9.29,5.49,6,8.64,4.86,,2.46,12.68,12.5,10.8,12.4,2.87,3.680401779,1,7,41,2011
Miami,New England,-7,-6.7,-8.01,-3,-13,-8.12,-7,-6,-17.4,-9.58,3,2,-12.12,-8.36,-6.49,-9.3,-4.25,-7,-13.61,,-2.5,-7,-14,-7,,,-6.7,-6.7,-10.05,,-4,-6,,,-8.95,,-4,-8,,-7.94,,,-7.85,-13.6,-4.4,-4,-9.5,-16.6,-7.25,-5.9,-7.7,-11,-7,,-8,-9.6,-3.24,-1,-34.1,0.5,,-29.42,-11.39,-5.38,-8.8,-2.19,-7.53,,-5.63,-8.65,-11.2,-8.9,-8.9,-3.79,6.3076921357,1,24,38,2011
N.Y. Jets,Dallas,6.5,6.63,7.41,6,8.45,6.81,7,5,14.5,3.82,10,2,2.9,3.64,7.13,9.7,5.92,5,10.53,,8.5,10.41,11,6.5,,,6.63,6.63,8.65,,4,4,,,8.5,,7,5,,9.82,,,6.63,10.4,8.9,5,4.8,15.7,4.75,3.79,7.34,9.5,7,,6,16.7,5,3,9.5,5.5,,22.83,10.79,7.08,9.6,8.34,3.51,,4.01,4.29,7.2,5.9,6.9,2.97,3.6124493022,1,27,24,2011
San Diego,Minnesota,9,4.49,9.65,3,4.83,6.77,8,8,3.8,8.12,10,2,6.25,7.14,10.93,3.86,8.85,7,5.59,,5.22,9.38,10,9,,,4.49,4.49,10.49,,9,8,,,5.73,,7.6,8,,0.3,,,6.34,5.8,3.7,2,7.7,5.8,8.25,6.43,5.02,11,9.5,,8,-3.8,7.04,4,3.3,4.9,,-1.04,4.47,5.13,7.7,9.04,10.31,,0.98,13.32,13.8,13.3,13.8,6.91,3.2937136321,1,24,17,2011
San Francisco,Seattle,6,3.13,7.16,3,9.14,4.97,5,6,-1.7,4.72,6,2,7.19,4.84,4.72,3.12,4.38,3,4.29,,6.03,7,7,6,,,3.13,3.13,8.2,,5.5,6,,,6.08,,4.4,5,,-0.25,,,4.76,4.7,3.9,3,4.2,6.3,5.25,6.81,6.78,8,0.5,,5,-2.6,5.5,4,16.2,6,,-7.61,-0.11,1.48,1.8,4.54,4.79,,2.64,5.58,7.5,4.7,6.4,4.11,3.1915405955,1,33,17,2011
St. Louis,Philadelphia,-4,-10.39,-4.91,-5,-10.51,-5.13,-6,-3,-9.5,-3.38,1,2,-3.1,-2.26,-1.03,-5.78,-0.05,-5,-7.56,,-4.18,-12.65,-10,-4,,,-10.39,-10.39,-4.06,,-4,-3.5,,,-6.84,,-1.6,-5,,-3.45,,,-5,-6.7,-2.1,-5,-2.6,-9.8,-0.75,-7.08,-12.52,-6,-4.5,,-6,-4.1,-3.23,1,-11.6,-5.8,,-33.29,-5.21,-0.93,-5.9,-1,-4.01,,-3.64,-3.45,-7.2,-5,-5,-11.67,5.2867114208,1,13,31,2011
Tampa Bay,Detroit,2.5,6.98,3.16,2,3.57,2.37,5,2,2,1.22,17,2,-0.47,1.44,4.39,2.16,3.97,3,0.17,,1.38,0.59,6,2.5,,,6.98,6.98,5.86,,3,1.5,,,1.53,,2.2,2,,4.17,,,2,-2.2,3.5,1,4.3,7,1.25,3.92,5.59,2.5,5.5,,1,-5.3,4.05,4,-2.8,1.7,,8.52,3.57,5.13,0.6,3.79,1.65,,-2.03,8.17,-1.3,-2,-2,1.53,3.374903897,1,20,27,2011
