Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linedoi,linesage,linesagp,linejfm,lineps,lineopen,linepi4,lineself,linejohns,linemass,linecoff,lineesp,linereister,linetsr,linel2to,linelog,linestrength,linebenson,linemed,linekerns,linejens,lineash,linehollo,lineburd,linemrr,linedok,linepugh,linest,linecovers,linebrad,lineatom,linewhatif,linebf,lineround,linedwig,lineff,linegametime,linepickle,linecrunch,linebemiss,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linecover81,lineridge,linerwp,linebmc,linepi1,linepi2,linepi3,linestd,linensr,lineppros,linebaldwin,rscore,hscore,week
Arizona,Seattle,-3,-1.51,3.74,-3,1.91,0.06,0,1,0.64,0.04,9,2.5,-5.09,1.52,0.51,-0.7,1.64,1,-1.32,1.04,0.58,-0.87,-2,-2.5,,1.79,-1.51,-1.51,3.51,,2.5,1.5,,,2,,-1.5,,,3.34,2.52,,,0.99,-1.8,-0.5,-1,,-3.6,1.09,1.88,-3.25,-1,1,-3,,-4,-4,,-18.95,6,3,10.7,-1,0.99,5.31,3.06,5.48,0.4,2.38,1.88,,,1.2,-2.71,3.4,3.2,3.3,3.1570822542,,,,16,20,1
Baltimore,Cincinnati,7,9.48,8.33,7,10.7,8.21,6,8,14.61,8.34,21,2.5,3.93,8.42,9.07,9.1,6.32,5,9.83,7.77,11.25,11.01,11,7,,6.63,9.48,9.48,11.6,,7,7,,,10,,6.8,,,5.01,6.07,,,8.24,8.6,5.8,7,,16.9,9.97,8.2,10.18,10.5,5.5,6,,3,10.08,,9.35,8,5,19.3,6.9,5.51,9.14,11.14,7.67,9.9,5.5,8.28,,,12.04,5.63,8.9,9,6.5,3.4994157402,,,,13,44,1
Chicago,Indianapolis,10,3.74,13.39,7,12.8,8.95,8,10,-2.69,16.64,21,2.5,11.05,13.62,13.24,7.78,9.38,9,13.04,11.15,11.93,14.83,9,10,,9.04,3.74,3.74,9.44,,9.5,14,,,10,,7.2,,,10.01,11.08,,,9.53,12.1,6.5,4,,4.7,10.75,5.14,11.79,14.5,11,8,,13,1.02,,-6.55,-3,7,3,6.4,8.29,7.9,1.86,6.4,13.9,10.37,12.78,,,21.95,9.46,14.7,9.6,14,4.8746732539,,,,21,41,1
Cleveland,Philadelphia,-9,-6.21,-8.35,-4,-8.5,-7.17,-8,-8,-8.27,-14.76,-3,2.5,-5.88,-10.58,-6.91,-7.09,-2.06,-7,-8.72,-5.21,-4.5,-13.17,-10,-9,,-6.24,-6.21,-6.21,-8.76,,-6.5,-8.5,,,-7,,-8.3,,,-11.97,-4.16,,,-7,-12,-5.5,-7,,-11.5,-2.24,-5.92,-12.13,-6,-7.5,-1,,-1,-13.46,,-4.65,-10,-2,-8.9,-9,-6.4,-10.28,-5.68,-3.09,-7.1,-5.76,-5.42,,,-12.77,-6.31,-8.3,-8,-7.2,3.3863498937,,,,17,16,1
Denver,Pittsburgh,1.5,-5.56,-6.19,-5,-5.54,-3.26,-5,2,-2.16,0.04,-4,2.5,2.89,1.02,-7.87,-4.38,-2.84,-3,-5.65,-2.46,-0.25,-1.65,-9,0.5,,1.57,-5.56,-5.56,-3.46,,2,-2,,,-3,,-0.6,,,-10.16,-0.81,,,-2.92,-5.8,-3.3,-5,,-8.7,-1.54,0.15,-9.08,-8.5,1.5,4,,-1,-12.28,,-0.9,-1,1,-15.1,-2.5,-0.1,2.45,-1.5,-0.83,-6.6,-6.28,-0.72,,,-7.29,-4.31,-1.7,-3.5,0.2,3.8602588519,,,,19,31,1
Detroit,St. Louis,8.5,10.69,16,9,19.48,13.02,12,10,19.29,12.84,16,2.5,13.5,12.92,17.32,13.06,13.36,10,14.98,12.7,15.75,7,20,9.5,,8.9,10.69,10.69,14.64,,9.5,9,,,14,,11.1,,,11.04,10.08,,,12.74,17.6,8.3,10,,20.8,11.97,12.78,17.06,18.5,10,13,,6,15.52,,9.65,29,5,3.2,12.3,7.66,23.02,16.06,12.83,20.3,12.29,12.88,,,25.47,11.26,12.3,12.3,10.5,5.1656180811,,,,23,27,1
Green Bay,San Francisco,5.5,5.59,8.45,5,9.49,4.07,7,4,1,6.34,10,2.5,0.02,5.22,2.16,-0.41,2.97,5,2.19,4.56,4.5,5.94,4,5.5,,6.97,5.59,5.59,4.21,,6.5,1.5,,,4,,3.4,,,2.91,3.54,,,4.5,4.2,1.8,2,,-4.6,3.26,6.35,6.17,5.5,4.5,3,,1,1.09,,-8.8,10,5,9.3,4.6,4.5,1.95,3.72,6.44,2.5,5.67,8.57,,,5.66,3.09,4.7,5.1,3.3,2.7885804869,,,,30,22,1
Houston,Miami,13,8.31,4.33,6,4.61,7.47,6,12,0.32,14.84,4,2.5,13.52,15.02,7.99,1.64,5.7,6,6.07,4.5,8.99,3.14,6,12,,6.83,8.31,8.31,4.52,,6,12,,,3,,8.3,,,2.74,4.74,,,6.62,4.2,2,9,,2.2,11.24,6.03,7.37,7,11.5,12,,9,0.75,,26.85,1,5,2.2,13.7,7,3.03,2.01,3.71,6,6.09,0.28,,,10.47,3.3,12.7,6.4,9.7,4.0566955083,,,,10,30,1
Kansas City,Atlanta,-2.5,-3.35,-2.79,-2,-6.72,-3.22,-3,0.01,-0.5,-2.36,-7,2.5,-5.01,-3.18,-6.69,-0.88,-2.83,-4,-5.79,-1.39,-4.42,-8.22,-2,-2.5,,-0.01,-3.35,-3.35,-0.13,,0,1,,,-3,,-1.2,,,-5,0.08,,,-2.91,-7.9,-1.4,-4,,1.1,-2.98,-2.1,-3.68,-8,-1,-4,,-2,-7.05,,-2.4,-26,2,-10.1,-3,-0.75,2.25,0.32,1.14,-7.6,-4,-3.91,,,-5.61,-5.64,-2.1,-2.4,-0.5,4.2986575942,,,,40,24,1
Minnesota,Jacksonville,3.5,5.96,2.06,1,3.3,2.63,4,4,2.61,1.34,-8,2.5,2.86,2.02,3.43,2.89,3.35,3,2.26,3.21,1.17,1.77,2,3.5,,4.03,5.96,5.96,1.85,,3.5,3.5,,,3,,2.3,,,2.37,0.8,,,2.6,2.6,1.7,4,,1.8,4.29,4.65,2.04,2,4.5,2,,3,-2.22,,7.25,-13,2,8.4,3.7,3.25,1,2.5,2.39,3.9,1.74,5.17,,,0.6,-0.45,0.7,1.7,2.6,3.0682885743,,,,23,26,1
N.Y. Giants,Dallas,3.5,6.02,4.12,5,3.14,5.83,6,5,15.32,7.44,14,2.5,2.07,9.62,3.44,13.01,3.33,2,7.09,7.66,7.25,2.55,11,3.5,,4.62,6.02,6.02,11.69,,3,4.5,,,7,,4.7,,,2.63,6.3,,,5.09,1.1,6.2,3,,20.8,3.85,5.62,5.09,6.5,7,8,,1,12.06,,6.05,1,4,,6.4,3.2,18.14,12.49,9.67,7,4.19,3.12,,,9.9,-1.34,4.9,7,5.1,4.3520857675,,,,24,17,1
N.Y. Jets,Buffalo,3,7.02,5.81,6,10.73,6.06,5,5,11.11,9.24,20,2.5,1.39,7.92,6.71,4.83,5.37,3,8.04,6.15,4.25,16.2,8,4,,5.18,7.02,7.02,8.6,,6,7.5,,,6,,3.7,,,8.09,4.46,,,6.13,7.2,4.7,7,,5,3.01,6.83,6.85,6,4.5,5,,-3,9,,2.9,17,3,6.1,2.3,4.49,4.68,9.23,7.34,8.3,6.45,9.07,,,8.68,8.92,7.5,7.2,4.6,3.437562096,,,,28,48,1
New Orleans,Washington,8.5,9.34,15.63,7,16.81,11.79,16,10,20.45,13.74,20,2.5,7.52,13.52,15.36,14.99,11.25,10,16.6,13.41,19.99,7,23,8.5,,8.39,9.34,9.34,17.93,,11,5,,,13,,8.4,,,13.61,12,,,10.9,12,9.5,8,,25.4,10.88,8.43,15.86,18,10.5,9,,6,19.42,,3,14,5,4,7,8.49,18.32,16.35,12.25,19.3,11.73,9.36,,,22.08,10.92,9.6,13.5,6,5.1045790366,,,,40,32,1
Oakland,San Diego,1,-4.2,-2.04,-0.25,-3,-1.85,-2,-2,-8.21,-4.46,4,2.5,1.13,-4.48,-2.03,-3.8,-0.23,-1,-3,-0.2,4.92,-4.6,-5,0.5,,-1.33,-4.2,-4.2,-1.91,,0,0.01,,,-3,,-1.5,,,-4.05,1.64,,,-1.96,-4.2,-1.1,-1,,-7.5,1.96,-3.6,-2.88,-2.5,-2,1,,1,-9.49,,3.1,1,2,-9.2,3.4,-0.49,1.1,-3.18,1.85,-2.1,0.34,-1.28,,,-1.42,-5.38,-4,-3.4,-1.5,2.7865090056,,,,22,14,1
Tampa Bay,Carolina,-3,0.76,-7.66,3,-4.91,-3.22,-7,-1,-10.72,-0.46,1,2.5,0.92,1.52,-5.15,-9.19,-2.87,-2,-5.08,-2.86,-1.03,-8.45,-9,-3,,-0.77,0.76,0.76,-5.7,,-2.5,1,,,-3,,-4,,,-3.59,0.23,,,-2.61,-5.5,-4,-2,,-16.5,1.88,-2.51,-9.51,-7,-1,-1,,-3,-14.27,,-1.7,-14,2,0.6,-5,-0.9,-3.52,-6.13,-1.55,-6.2,-2.9,-0.62,,,-7.74,-6.32,2.2,-2.7,-0.8,4.2443138005,,,,10,16,1
Tennessee,New England,-5,-4.03,-6.27,-2,-9.25,-5.33,-6,-6,-15.3,-9.26,20,2.5,-3.34,-8.98,-4.03,-6.18,-1.49,-7,-7.67,-4.77,-5.99,-15.65,-10,-5,,-5.9,-4.03,-4.03,-6.82,,-6.5,-7,,,-6,,-2.2,,,-7.04,-4.8,,,-5.99,-9.2,-5,-2,,-10.1,-3.11,-6.11,-10.31,-7,-5,2,,-8,-13.71,,11.25,-3,-1,6.9,-3,-3.5,-9.57,-9.1,-2.89,-6.1,0.84,-9,,,-9.85,-8.99,-6.3,-7.5,-4.8,5.5406747518,,,,34,13,1
Atlanta,Denver,3,1.61,8.43,6,7.76,5.04,4,2,10.5,2.91,10,2.5,1.57,1.95,9.66,6.63,6.93,2,7.91,5.31,8,4.27,10,3,,2.82,2.65,1.42,,,3,2,,,6,,2.2,,,5,1.24,,,4.34,8.1,4.1,4,,9.9,2.52,3.85,4.58,11,5.5,3,,-2,11.59,,-6.9,26,4.6,,2,4.87,3.99,7.22,3.94,10.5,6.12,1.49,,,6.77,6.34,3.2,5.7,2.8,4.1827160423,,,,21,27,2
Buffalo,Kansas City,3,5.12,1.44,1,6.77,2.5,4,3,-5.83,1.45,3,2.5,-3.97,1.56,8.22,0.22,6.8,2,5.57,3.32,6,6.59,3,3,,2.92,5.78,4.99,,,3,-4,,,3,,1.8,,,6.35,0.4,,,2.5,7.6,2.5,2,,0.8,6.68,5.44,2.06,9,2,2,,1,-2.58,,1.3,1,3,,4.3,3.78,-2.25,-3.27,-0.71,5.4,4.12,7.28,,,-4.3,-1.89,2.5,2,0.6,3.3825838482,,,,17,35,2
Carolina,New Orleans,-2.5,-4.7,-8.43,-5,-5.78,-3.74,-5,0.01,-4.75,-0.75,-14,2.5,3.27,-1.28,-5.85,-7.21,-3.81,-1,-5.88,-3.09,-11.88,-7.7,-10,-2.5,,2.82,-4.03,-4.83,,,0,-5.5,,,-4,,-0.7,,,-8.36,-5.44,,,-3.53,-9.9,-3.3,-5,,-9,-3.85,-0.86,-5.7,-7.5,-2,1,,-2,-15.46,,-3.2,-2,2.9,,-3.9,-0.38,-7.75,-3.36,-1.97,-9.2,-3.14,-1.82,,,-12.66,-4.81,-3.7,-2.1,-1.6,3.8390005848,,,,27,35,2
Cincinnati,Cleveland,7,1.37,4.3,4,2.23,4.35,5,6,-4.11,6.17,6,1.3,8.23,10.47,9.3,2.49,6.3,5,7.83,3.92,7,2.84,3,7,,7,4.94,0.73,,,10,5.5,,,4,,2.8,,,9.83,9.16,,,4.87,1.7,1.8,3,,-8.7,7.71,0.1,-5.73,5,8.5,4,,4,1.71,,-10.4,9,4.5,,8.2,5.17,12.55,1.2,6.52,5.2,2.59,10.2,,,14.66,5.77,4.8,3.2,5.7,4.1204494996,,,,27,34,2
Green Bay,Chicago,5,2.88,13.07,6,8.2,5.65,6,6,5.33,9.37,12,-1.75,3.86,8.36,9.25,6.88,7.36,3,7.92,5.3,8.29,16.96,8,5,,4.61,2.82,2.89,,,6.5,-1,,,5,,2,,,5.54,8.54,,,5.31,5.7,2.5,4,,4.1,6.79,6.16,3.51,10,4.5,5,,1,6.65,,-2.85,28,2.9,,5.5,4.59,10.98,5.31,5.28,10.1,7.28,12.47,,,13.67,8.56,2.5,3.4,-0.2,4.6544512787,,,,10,23,2
Indianapolis,Minnesota,-1.5,1.4,-1.15,2,-2.46,-0.89,0,3,6.08,0.82,4,-1.75,-3.12,0.36,-1.35,-0.64,-0.43,-4,-1.35,-1.99,-7,1.38,1,-1.5,,2.12,0.61,1.55,,,2.5,-0.5,,,-3,,2.1,,,-1.57,-3.92,,,-0.86,-10.7,-2.6,-1,,0.8,0.64,-2.39,-5.19,-1,0.5,5,,-5,-2.16,,6,-2,1.8,,-0.4,-0.3,4.22,2.64,-0.81,-2.1,-2.04,2.81,,,-8.05,-1.4,-0.3,-0.9,-0.6,3.012742702,,,,20,23,2
Jacksonville,Houston,-7,-5.56,-6.53,-2,-9.59,-7.65,-7,-10,-4.64,-15.54,-7,-1.75,-8.37,-16.06,-8.61,-4.08,-3.06,-7,-9.29,-6.81,-8.96,-12.6,-8,-7,,-5.45,-5.88,-5.57,,,-8,-8.5,,,-6,,-8.7,,,-8.1,-6.68,,,-8.05,-10.4,-5.8,-5,,-7.4,-8.3,-6.27,-16.88,-9,-8.5,-4,,-15,-8.55,,-3.4,-4,-1.2,,-11.4,-5.35,-2.15,-5.34,-6.05,-4.6,-8.25,-8.83,,,-10.45,-4.82,-10,-8.7,-8.9,3.6040956767,,,,27,7,2
Miami,Oakland,-2.5,3.01,4.21,1,3.51,2.79,4,2,2.85,-0.4,0.01,2.5,-4.29,1.86,7.56,6.49,5.86,-2,8.16,4.44,1,6.08,7,-1.5,,4.32,4.81,2.66,,,-1,-6,,,6,,0.02,,,8.83,-0.15,,,2.7,5.4,2.7,1,,7.6,2.42,2.16,6.42,8.5,2.5,2,,-1,9.23,,-10.4,2,2.7,,3,1.38,2.95,2.54,2.22,13.1,4.89,7.4,,,10.02,7.04,3.7,2.8,-0.5,3.5536920762,,,,13,35,2
N.Y. Giants,Tampa Bay,7,8.18,10.79,7,8.14,10.07,12,8,16.48,9.2,3,-1.75,14.96,9.18,13.86,22.45,10.24,4,9.96,9.43,4,1.8,20,7,,6.46,6.81,8.45,,,8.5,6,,,14,,5.5,,,8.46,6.17,,,9.04,12,8.4,9,,21.3,6.83,9.87,8.87,18,11,12,,6,20.34,,7.85,5,4.1,,13,7.42,25.06,10.93,5.37,15.4,9.66,10.14,,,28.2,9.07,8.6,7.6,6.9,5.6483180908,,,,34,41,2
New England,Arizona,13.5,13.87,11.09,11,20.29,12.8,11,14,20.27,14.66,19,2.5,19.47,14.14,12.63,8.83,9.04,9,13.46,12.47,14,9.05,19,13.5,,11.99,12.4,14.18,,,12.5,12.5,,,14,,8.5,,,7.38,7.64,,,13,13.5,8.1,9,,15.9,12.19,14.6,15.4,15,13.5,13,,8,19.16,,2.6,35,7.5,,9.2,8.92,13.02,13.43,6.59,22,11.98,14.9,,,16.71,12.68,13,14.6,8.5,4.9597052648,,,,20,18,2
Philadelphia,Baltimore,2.5,-0.12,0.54,2,-1.79,0.62,3,3,-0.11,-1.93,3,1.3,7.35,0.47,0.54,3.5,1.8,-1,-0.83,-1.75,0.34,6.06,2,2.5,,3.81,3.52,-0.81,,,2.5,-3,,,0.01,,-0.9,,,3.13,-2.55,,,0.41,-0.1,-0.3,4,,3.5,-4.94,-0.18,-10.32,0.5,2,-1,,-5,-0.32,,5.1,2,1.5,,3.1,3.08,0.59,0.05,0.2,4.4,-0.31,3.83,,,-0.17,-1.2,-1.7,0.6,-2,2.8975967053,,,,23,24,2
