Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linewunder,linepig,linens,linecpa,lineexcel,linemore,linedunk,linecpar,linepyth,lineelo,lineeff,linetrexler,linel2,lineschmidt,linel1,linel2h,linefox,lineca,linebihl,linedoi,linesage,linesagp,lineps,lineopen,linepts,linejohns,linemass,linecoff,lineesp,linetalisman,linerx,linel2to,linelog,linemidweek,linemed,linekerns,linejens,lineash,linestjohn,lineburd,linemrr,linedok,linepugh,linest,linecovers,linelock,linesun2,linewhatif,lineround,linedwig,lineff,linegametime,linesmart,lineshark,linebemiss,linelinx,linecombo,linegirl,linelaff,linepasteur,linearmstrong,linesun1,linedonchess,linerwp,linepi1,linepi2,linepi3,linestd,rscore,hscore,week
Buffalo,New England,-10,-10.45,-7.27,-6,-11.54,-8.9,,-8,-8,-12.08,-3,2.5,-7.04,-13.96,-7.86,-7.63,-6.01,,-11.88,,-9,-6.05,-11,-10,,-6.74,-10.45,-10.45,,-6.5,-17.13,,-7,,-2.3,-12.63,-11.5,-8.49,-7.94,-8.5,-8.2,-17.3,-8.2,-6,-7.66,-8.2,-4.35,-8.25,-14.59,-13.5,-9,-13,-12,-8,,-3.75,-7.5,-1,,-19.8,-3,,,,-26,-5.24,,-12,-8,-16.57,-12,-8.2,-12.4,4.970378529,23,21,1
Carolina,Seattle,-3,-3.4,-5.18,-4,-4.38,-4.89,,-5,-12,-9.28,-7,2.5,-6.04,-9.66,-4.48,-3.58,-2.19,,-6,,-3,-3.63,-6,-3,,-2.74,-3.4,-3.4,,-3.5,-9.1,,-4,,-3.1,-8.98,-6.8,-7.38,-3.47,-3.5,-4.48,-6,-3,-6,-4.96,-3.4,-4.03,-3.41,-5.78,-8.5,-6.5,-4,-5,-7,,-11.1,-1,-1,,-10.9,1,,,,-13.6,-3.08,,-5,-3,-8.18,-4.2,-4.9,-4.4,3.0866317727,12,7,1
Chicago,Cincinnati,3,3.51,0.94,3,4.64,2.05,,3,-1,-0.38,3,2.5,-4.58,-0.26,4.98,0.99,4.33,,-0.22,,1,-3.65,3,3,,3.66,3.51,3.51,,3,3.3,,3,,1.1,0.44,1.2,-3.76,2.06,3,2.5,6.7,4.2,0.01,2.22,0.2,5.42,3.99,5.46,7,4,4,3,-3,,-1.4,0.01,2,,1.7,2.75,,,,11.1,2.65,,3,5,6.32,1,1.4,1,2.7865087844,21,24,1
Cleveland,Miami,2.5,0.1,-0.95,1,-2.25,-0.09,,0.01,-2,-5.68,4,2.5,2.88,-2.56,1.34,-1.51,1.98,,1.1,,-2.51,3.32,0.01,2,,0.63,0.1,0.1,,0,-1.31,,1,,-1.4,0.75,1.5,-1.56,0.93,1,0.1,0.8,1.1,1,0.81,-1.7,2.05,-1.77,-0.1,1.5,0.5,8,1,-5,,3.5,-0.5,0.01,,-2.3,2.75,,,,4.4,0.02,,1,1,-3.57,-1.6,-1.2,-2,2.3465981111,23,10,1
Dallas,N.Y. Giants,3.5,1.55,5.34,1,-4.6,-0.06,,3,-6,-2.08,1,2.5,-1.45,-2.76,-1.7,-0.9,-0.43,,-3.56,,-2.56,-2.51,-3,2.5,,0.52,1.55,1.55,,3,-5.81,,-3,,3.1,-3.18,1.1,2.43,-0.89,3.5,0.52,-0.3,3,1,1.71,-1.3,-0.97,-1.9,-2.69,-2,1.5,3,-3,1,,2.45,4,2,,-6.8,3,,,,-9.2,1.72,,-3,-1,-2.93,1.1,2.6,1.9,3.0530446886,31,36,1
Denver,Baltimore,7,4.41,13.05,1,5.83,5.79,,7,4,7.32,11,2.5,11.15,10.74,6.77,0.08,5.97,,7.52,,10.22,5.99,3,7,,5.6,4.41,4.41,,8.5,7.52,,3,,3.8,4.99,3.5,10.37,5.25,7.5,5.6,8.2,5.6,2,8.76,-1.2,6.38,4.47,2.5,5.5,6.5,18,10,3,,2.4,3,5,,8.6,6,,,,11.8,8.23,,9,6,8.31,4.9,6.4,4.9,3.5220252211,27,49,1
Detroit,Minnesota,4,3.78,2.61,3,0.85,0.02,,4,-1,5.92,-1,2.5,-11.89,3.24,-0.36,-6.87,0.63,,1.36,,2.78,1.58,-4,3.5,,0.86,3.78,3.78,,3,-3.94,,-2,,1.6,2.13,-0.7,3.17,-2.8,5.5,1.36,-0.5,-3.8,6,0.39,-10.3,2.11,-1.9,1.05,-3,3,3,-2,2,,8.65,-2,3,,-6,3,,,,-8.5,0.95,,-2,-4,-9.39,1.4,1.5,2.7,4.1705560287,24,34,1
Indianapolis,Oakland,10.5,9.05,6.96,6,5.16,8.81,,9,7,15.52,7,2.5,11.3,12.04,7.5,8.17,6.27,,8.43,,12,7.14,9,10.5,,6.28,9.05,9.05,,6.5,7.74,,6,,9.8,6.18,7,7.64,12.06,9.5,8.43,6.5,9.6,4,10.42,5.8,5.93,6.35,5.23,8,10,21,10,9,,4.5,12.5,9,,7.7,8,,,,13.5,6.98,,10,14,17.39,13.7,14.2,14.3,3.6065086885,17,21,1
Jacksonville,Kansas City,-3,-1.83,-2.6,1,0.3,-0.02,,-1,2,-7.58,4,2.5,8.36,-5.56,4.41,3.26,4.73,,-4.48,,-7.59,1.08,4,-2.5,,1.73,-1.83,-1.83,,-2.5,2.56,,3,,-4.1,-4.79,3.6,-2.45,-2.53,-4,0.26,-1.2,2.6,-1,0.62,5.4,-0.31,0.57,2.53,5,-2.5,5,3,-2,,-13.15,1.5,-1,,2.5,0.01,,,,7,0.26,,2,2,4.42,-1.7,-5.2,-1.7,3.4078406674,28,2,1
N.Y. Jets,Tampa Bay,-4,-1.29,-0.83,4,-1.32,-1.43,,0.01,8,-7.38,3,2.5,-6.06,-1.46,-1.47,-3.52,0.11,,0.37,,-6.11,-7.44,0.01,-3.5,,-1.72,-1.29,-1.29,,-2.5,-4.56,,-3,,0.4,0.15,-4.7,5.36,-1.06,-3,-1.29,-5.1,-1.6,5,-2.05,-4.2,-0.61,2.24,0.95,-4,0.01,-1,-4,-6,,4.7,-3,0.01,,-5.6,0.01,,,,-9.4,0.07,,-4,-1,-4.84,-0.2,-3,-0.6,3.3311499676,17,18,1
New Orleans,Atlanta,3.5,2.73,-1.25,3,3.41,0.8,,2,6,-1.08,-4,2.5,0.66,1.44,-1.41,-0.64,-0.47,,3.1,,5,4.02,3,3,,0.95,2.73,2.73,,3,-5.12,,-1,,-0.1,2.57,-0.2,5.3,2.03,3,0.88,-1.6,-0.4,5,2.12,0.4,1.45,0.88,0.39,1,1,-3,-1,-4,,6.95,0.01,3,,-7,2.5,,,,-9.5,0.59,,-1,1,-8.47,0.1,-2.6,0.5,3.2030155339,17,23,1
Pittsburgh,Tennessee,6,7.76,9.36,4,11.24,8.02,,11,7,12.22,7,2.5,12.52,8.34,9.81,5.88,7.82,,2.68,,0.44,0.96,13,6,,6.74,7.76,7.76,,6.5,11.19,,8,,2.7,7.03,8.9,6.04,-0.65,7,7.82,16.5,10.2,6,10.66,9.2,5.93,8.99,11.69,12.5,9.5,18,11,5,,-0.75,4,7,,10.1,6,,,,17.4,8.75,,10,7,14.08,6.2,7,5.4,3.459509193,16,9,1
San Diego,Houston,-3.5,-3.22,-6.33,-4,-3.33,-2.98,,-3,3,-9.28,1,2.5,-5.53,-9.36,-0.07,-1.37,0.8,,-4.19,,-7.81,-9.18,-2,-3.5,,-1.17,-3.22,-3.22,,-2.5,-3.33,,-3,,-1.5,-2.61,0.4,0.51,-5.28,-3.5,-3,-5.8,0.01,-4,-3.24,0.1,0.37,-0.71,-0.54,-0.5,-5,-1,-3,-2,,-4.95,-2.5,1,,-5.3,0.01,,,,-7.7,-0.52,,-3,-5,-8.39,-5.1,-4.4,-5.2,2.9133960284,31,28,1
San Francisco,Green Bay,5.5,3.46,6.22,6,6.82,4.96,,4,0.01,4.22,-3,2.5,8.14,4.74,4.56,3.88,4.06,,7.21,,5.62,4.75,4,5.5,,4.76,3.46,3.46,,5.5,3.33,,4,,4.6,9.1,7.7,3.78,0.98,4.5,4.6,2.8,5.8,8,6.18,6.9,4.22,3.27,3.04,5,4.5,15,5,1,,7.55,4.5,4,,1.7,3,,,,11.7,2.81,,5,6,6.04,5.3,6,5.9,2.7828937628,28,34,1
St. Louis,Arizona,3.5,3.47,8.66,1,6.45,5.41,,7,11,8.52,-6,2.5,1.91,6.84,6.13,7.97,4.85,,4.72,,10.41,-0.17,9,3.5,,5.32,3.47,3.47,,5.5,4.42,,5,,7.6,4.59,3.1,7.12,4.37,4.5,5.32,5,7.5,2,6.25,13.3,4.76,0.57,3.67,7,5.5,9,6,-1,,-1.6,7.5,6,,3.6,5,,,,9.2,4.69,,6,10,10.59,6.2,4.9,5.8,3.2870881885,24,27,1
Washington,Philadelphia,3.5,3.73,9.8,8,7.72,9.01,,7,18,9.12,4,2.5,1.06,6.54,11.46,12.86,9.54,,15.59,,10.57,14.85,15,4.5,,7.64,3.73,3.73,,4.5,13.37,,8,,8.6,15.27,10.6,8.07,11.98,3,8,12.2,10.2,5,6.44,21.2,7.85,3.98,9.11,14,8,16,12,7,,13.3,10,4,,13.3,4.25,,,,22.3,7.77,,12,14,21.22,7.6,6.5,7.3,4.9378470342,33,27,1
Arizona,Detroit,-2,-3.32,0.12,1,2,-1.42,,0.01,-2,-2.55,1,-1.75,0.83,-7.37,-8.45,-0.56,-3.59,,-2.99,,-4.78,1.01,-2,-2,,0.06,-3.18,-3.47,,0,-12,,1,,-2.7,0.03,-3.2,-6.53,-1.07,-1.5,-0.9,-6,0.9,-3,0.41,2.3,1.86,0.31,-5.06,2,-2,2,2,-2,,3.05,0.75,2,,-13,2.17,,,,8.2,0.7,,1,-1,2.08,-0.9,-1.1,-1.6,3.7621362952,21,25,2
Atlanta,St. Louis,4,10.43,5.82,5,12.71,5.73,,9,4,8.2,8,-1.75,10.08,0.75,-7.44,4.62,-1.76,,6.79,,2.22,3.65,9,4,,7.69,10.47,10.38,,6,-8,,6,,4.3,4.56,4.7,8.3,3.09,6,5.97,6.1,6.4,5,5.44,5,5.29,9.82,8.2,8.5,9.5,4,4,2,,0.35,7.5,5,,4,4.31,,,,5.9,5.97,,4,5,-1.5,7.7,8.1,7.7,4.1870634048,24,31,2
Baltimore,Cleveland,5.5,9.27,10.14,8,14.65,9.56,,12,13,11.05,11,2.5,15.06,19.29,6.01,15.83,6.87,,2.4,,3.22,10.86,15,6,,7.01,9.33,9.21,,6,-8,,13,,7.5,9.21,10,6.25,3.71,6,9.21,6.9,14.4,7,8.43,20.4,6.97,11.51,9.84,12.5,10,22,9,9,,7.05,2.75,6,,1,6.23,,,,16.7,5.88,,9,14,7.62,12.4,10.4,12.2,5.1119443593,6,14,2
Buffalo,Carolina,-3.5,2.33,-3.04,-1,0.88,-0.98,,0.01,1,0,-1,2.9,-6.17,-3.95,12.76,-2.97,5.49,,-5.4,,-3.78,-6.73,-3,-3.5,,-3.15,2.27,2.38,,-2.5,4,,-3,,-0.8,-4.27,-3.4,-1.94,0.11,-3,-1,-2.9,-0.1,-3,1.22,-6.1,1.2,1.39,1.07,-1,-1,10,-2,-1,,-4.8,-2.25,1,,3.3,0.13,,,,-14.8,0.98,,-2,1,-12.57,0.8,-0.2,1.8,4.4337187816,23,24,2
Chicago,Minnesota,6,5.49,5.65,6,7.55,6.93,,8,3,12.5,-1,6.75,4.39,16.48,14.84,5.09,9.23,,5.32,,6.22,2.5,6,6,,7.22,5.51,5.48,,5.5,14,,6,,6.9,6.52,6.4,1.87,2.01,6,6.2,6.2,8.6,5,8,3.6,5.49,6.2,10.81,7,7.5,7,3,2,,10.55,8.5,5,,13,5.43,,,,6.7,4.08,,3,10,5.27,5.4,8.2,7.2,3.3030836589,30,31,2
Cincinnati,Pittsburgh,6,2.15,-0.83,6,5.63,6.83,,6,6,11.93,22,2.5,9.29,3.96,12.28,10.31,4.87,,12.09,,8.22,10.36,8,6,,6.78,2.09,2.2,,6,5,,7,,8,8.86,6.6,8.78,8.55,6.5,6.2,3.7,12.9,6,7.55,8.3,4.66,6.59,7.68,4,6,8,6,1,,14.6,4.5,4,,4,4.84,,,,16.9,4.14,,6,8,21.49,5.9,6.9,6.2,4.4429976732,10,20,2
Green Bay,Washington,7,8.89,3.84,3,10.13,6.88,,9,4,15.99,20,2.5,5.1,13.35,3.16,12.35,2.86,,2.19,,6.22,7.14,11,7,,7.2,8.86,8.91,,6.5,1,,7,,6.5,2.84,6.6,4.65,7.27,7,6.67,6.9,11.7,1,7.26,11.9,5.35,8.57,7.29,8,10,8,6,1,,4.75,5.25,6,,0.01,6.67,,,,15.8,4.2,,6,11,-0.53,11,11.1,11.6,4.3834344027,20,38,2
Houston,Tennessee,7,9.87,12.73,8,10.5,7.61,,11,10,0.52,3,2.5,6.35,-2,-7.08,3.4,1.5,,9.78,,12.22,4.08,12,7,,9.57,10.07,9.67,,8.5,-3,,6,,4.7,11.95,1.9,9.48,9,9.5,8.3,12.1,7.9,9,7.08,5.4,7.4,7.48,6.53,13,11,21,9,3,,8.45,7.5,8,,6,7.65,,,,17.4,8.45,,9,11,13.79,8.8,9.7,8.3,4.9636304874,24,30,2
Indianapolis,Miami,1.5,2.46,3.78,1,-2.59,0.17,,3,0.01,-4.85,7,2.5,-0.89,-2.41,-7.71,-3.87,-2.31,,0.1,,2.22,0.01,0.01,1.5,,2.99,2.6,2.33,,0,-8,,-3,,-0.8,-1.88,-2.7,1.95,5,2.5,0.2,0.2,-1.1,-1,2.33,-0.8,3.28,0.07,-3.99,-2,2.5,4,3,-1,,-4.55,4,4,,-3,3.72,,,,-4.7,1.38,,1,5,0.31,3.6,0.8,2.2,3.2464269229,24,20,2
Kansas City,Dallas,3,-7.11,-2.9,-3,-8.6,-0.87,,0.01,-8,3.12,-3,2.5,5.11,-9.18,19.73,-2.21,24.44,,-3.19,,-0.78,-3.59,-8,2,,-2.36,-6.72,-7.5,,2.5,22,,-5,,4.7,-4.51,2.2,0.42,-3.53,3,-0.8,-4,-0.8,0.01,4.24,-4.3,0.76,-2.02,-4.35,-8,0.5,1,-5,-5,,4.1,0.5,2,,1,1.45,,,,-6.5,0.93,,-4,-9,-11.76,-0.8,1.5,-0.2,7.2659350801,16,17,2
N.Y. Giants,Denver,-3.5,1.74,-2.17,1,0.1,-4.73,,-3,5,-13.63,-13,-1.75,-1.4,-14.76,-13.82,-10.13,-10.05,,-0.63,,-5.89,-1.41,-2,-3.5,,-1.86,1.87,1.59,,-6,-26,,-4,,-4.7,-2.38,-7,-6.76,-4.64,-4.5,-3,-5.9,-10.7,-1,-2.92,-10.4,0.87,-6.16,-8.97,-2,-3,-2,-2,-8,,-6.85,-2.75,0.01,,-7,-2.91,,,,-3.5,-0.06,,-2,-7,-17.24,-4.7,-6.2,-6.6,5.7763302174,41,23,2
