Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,linebmc2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,linenseye,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linestd,rscore,date,hscore,date1,week
Arizona,San Diego,3.5,2.3,1.99,4,4.7,3.05,3.88,1,2.5,7.72,9,3.1,-0.19,5.64,3.25,2.68,2.97,2.3,5.72,-3.03,6.13,8.23,2,3.5,,-3.72,2.3,2.3,2.7,3.5,3.5,4.91,2.8,,4,,4.38,0.4,,5.53,2,4.86,3.98,0.2,3.03,9.7,8,5,2,3.4,3.5,2.95,2.5,4,0.01,,3.2,2,,3.66,6.65,,,2,3.13,7,,-3.38,0.74,3.91,1.22,6.67,-3,,,2.8130937246,17,19973,18,19973,1
Atlanta,New Orleans,-3,-1.45,-5.13,-1,-3.36,-3.98,-2.69,-5,7.5,0.72,10,3.1,-6.29,-2.96,-4.87,-7.44,-2.65,-1.45,-5.82,-4.8,-5.55,-3.55,-8,-3,,-1.78,-1.45,-1.45,-10.9,-3,1.5,-5.82,-11.3,,-3,,-8.48,-4.5,,-4.54,-9.6,-9.91,-5.23,-10.54,-4.12,-11.9,-7.2,-6,-3.5,-9.3,-1.2,0.05,-11.8,-10,-1.75,,-1.6,-3,,-7.63,-8.5,,,1.5,0.52,-12.3,,8.52,7.54,-2.16,-10.4,-3.73,-10,,,5.0992269304,34,19973,37,19973,1
Baltimore,Cincinnati,0,0.87,-0.72,3,0.93,-0.82,-2.1,-2,-2.5,-0.58,6,3.1,-2.65,-2.36,-3.1,-3.06,-1.09,0.87,4.49,0.87,5.16,9.58,-3,0,,1.1,0.87,0.87,-2.3,2,2.5,-2.72,-5.6,,1,,-2.33,0.4,,-0.66,-3.1,-0.15,-3.42,-7.73,-0.68,-8.3,-2.3,0.01,2,-6.3,2,2.87,-2.3,-4,4,,-0.7,2,,-2.69,-6.3,,,-1.5,1.67,-6.6,,4.78,4.55,-0.25,-7.35,4.53,-17,,,4.0247241846,23,19973,16,19973,1
Chicago,Buffalo,7,8.32,0.99,5,8.54,5.63,0.78,2,3.5,17.92,13,3.1,9.11,18.44,4.04,-0.06,3.98,8.32,11.51,17.47,11.43,8.51,1,7,,7.11,8.32,8.32,7.4,7,6,3.03,0.9,,4,,3.85,4.8,,4.07,8.7,-0.34,4.53,0.93,4.67,-0.5,3,2,2,-5,6.48,6.35,7.1,2,8.75,,7.8,3,,4.07,2.5,,,9.5,6.9,5.6,,4.11,5.72,4.52,2,7.8,-3,,,4.5905800765,23,19973,20,19973,1
Dallas,San Francisco,-4,-5.31,-3.14,-4,-4.94,-6.62,-1.81,-6,-14.5,-8.08,-9,3.1,-11.48,-8.86,-2.46,-11.06,-1.37,-5.31,-12.96,-12.19,-12.15,-15.73,-9,-4,,-8.77,-5.31,-5.31,-5.3,-4.5,-3.5,-2.44,-16,,-6,,-6.78,-4,,-4.54,-5.2,-8.93,-8.25,-6.6,-6,-12.9,-10.6,-8,-9.5,-13.2,-1.16,-4.84,-5.2,-6,-7.25,,-7.8,-6,,-4.93,-7.6,,,-6,-1.84,-12.4,,-2.53,-2.55,-4.36,-6.14,-8.37,-10,,,3.8197959422,28,19973,17,19973,1
Denver,Indianapolis,7.5,9.36,7.53,9,10.24,8.65,9.44,8,-2,6.42,7,3.1,3.94,5.44,8.08,9.39,7.95,9.36,19.15,10.16,20.92,7,9,7.5,,8.27,9.36,9.36,6.6,7.5,6.5,6.27,11.5,,7,,13.65,7,,5.13,4.1,4.08,12.74,7.4,8.04,9.9,9.5,14,9.5,7.3,6.12,7.28,7.5,12.5,8.75,,3.1,4,,10.04,10.4,,,4,6.91,19.7,,7.39,5.79,6.97,11.5,19.6,12,,,4.212895646,24,19973,31,19973,1
Detroit,N.Y. Giants,6.5,5.25,10.93,1,3.8,4.23,7.7,3,3,5.92,-1,3.1,16.03,4.84,8.08,1.11,6.35,5.25,7.4,3.4,7.09,11.12,7,6.5,,3.75,5.25,5.25,0.1,5.5,4,5.5,-0.5,,3,,5.25,1.5,,2.84,-2.2,-0.92,3.05,6.25,3.99,4.8,3.7,4,-2,4.3,4.81,3.58,0.6,6,2.75,,7.5,3,,2.01,6.4,,,3,3.97,8.2,,-4.88,-2.75,4.47,7.75,8.66,1,,,3.7180466548,14,19973,35,19973,1
Houston,Washington,3,0.83,0.67,2,1.63,1.86,1.84,2,6.5,3.02,6,3.1,5.07,0.94,1.95,1.27,2,0.83,0.38,2.67,0.32,-10.77,0.01,3,,2.92,0.83,0.83,0.8,2.5,2.5,3.05,2.9,,3,,1.5,3.6,,2.74,1.1,2.38,3.33,-0.47,2,7.2,3.5,-2,3.5,2.9,3.57,2.68,0.3,2,1.5,,8.8,-5,,1.04,4.6,,,-3,2.96,5.8,,-2.22,-1.94,2.76,0.5,-2.22,1,,,2.4815526155,6,19973,17,19973,1
Kansas City,Tennessee,3,7.41,1.81,1,5.47,5.97,6.17,9,8,6.02,-7,3.1,2.55,3.54,8.68,7.47,7.21,7.41,8.84,9.87,7.27,8.45,10,4,,6.64,7.41,7.41,7,3.5,6,7.26,11,,5,,7.89,3.5,,4.82,7.2,3.48,7.18,7.84,6.98,3.8,9.1,2,8,13.3,5.75,5.02,7.6,9.5,7.5,,6,5,,6.28,9.95,,,5.5,6.95,12.3,,-4.42,-1.83,5.93,9.48,1.89,11,,,3.6652992096,26,19973,10,19973,1
Miami,New England,-3.5,-4.77,-2.99,0.25,-8.79,-4.84,-2.16,-8,-3.5,-6.18,-7,3.1,-9.69,-9.56,-2.18,-7.25,-0.56,-4.77,2.31,-11.23,1.25,4.71,-10,-3.5,,-11.5,-4.77,-4.77,-6.4,-5,-3.5,-1.31,-6.5,,-3,,-4.06,-4.3,,-2.72,-6.8,-4.84,-6.74,-7.06,-4.77,-5.2,-4.5,-3,-6,-15,-0.89,-3.36,-5.4,-4.5,-6,,0.4,-7,,-3.63,-4.5,,,-6,-1.72,-5.9,,-7.24,-1.48,-3.67,-6.63,1.92,-12,,,3.7004694971,20,19973,33,19973,1
