Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linepasteur,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linebmc,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesage,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineshark,linemed,linekerns,linejens,lineash,lineffw,lineburd,linemrr,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,lineshadow,linedoi,linexwp,linelinx,linecombo,linegirl,linestjohn,lineppg,linel2to,linelock,linefeng,lineiron,linekalin,linenseye,linestd,rscore,hscore,week
Arizona,New Orleans,1,5.2,4.31,6,6.2,4.43,,5,7.37,3.64,9,3.89,-0.78,4.82,3.93,5.05,3.46,5.2,5.3,,5.47,2,7,2,,2.5,5.2,5.2,4.2,1,2.5,6.13,5.64,,4,,5.41,2.5,,2.59,8.1,6.72,6,,5,5.5,7.7,6,2,8.7,,0.89,3.2,5,6.75,,-3.5,1.2,2.2,5.41,13.9,,3,3,3.63,,6,7,,2.75,-3.89,0.49,,5.8,3.5,5.38,,2.9038402763,19,31,1
Atlanta,Philadelphia,-2.5,-1.27,-1.42,-1,-3.64,-2.97,,-2,7.43,-1.46,-13,-2.28,-5.69,-4.78,-1.29,-2.68,-0.32,-1.27,-5.87,,-6.14,-6.16,-2,-2.5,,-3.1,-1.27,-1.27,-6.5,-2.5,-1,-2.11,-3.96,,-3,,-8.3,-3.2,,-1.1,-5.3,-3.8,-4.98,,-2.76,-6.5,-3.6,-8,-3,-5.7,,-0.31,-6.9,0.01,-0.5,,-0.5,-6.2,-0.31,-4.7,-15.05,,1,3,-3.08,,4.59,7.5,,-2.76,-3.81,-8.35,,-2.6,0.11,-2,,3.6926584093,24,26,1
Buffalo,Indianapolis,0,-0.3,-0.85,2,4.13,1.33,,-2,4.75,-3.46,3,1.65,7.45,-3.78,-0.66,3.44,0.09,-0.3,2.71,,2.44,2.13,8,0,,-0.9,-0.3,-0.3,-1.9,-2.5,-2.5,2.3,3.93,,3,,5.58,0.6,,1.39,-2.2,-0.47,4.11,,0.6,2.6,4.1,3,7,10.6,,-0.62,-2.3,1,-0.5,,-3.5,-7.1,-2.74,-0.51,13.8,,-1,1,-1.81,,-1.43,4.5,,0.53,-3.67,-0.56,,-3.2,2.92,-0.65,,3.7622214138,14,27,1
Chicago,Green Bay,-7,-7.06,-6.32,-1,-6.7,-8.79,,-8,-13.62,-10.56,-6,-11.74,-20.43,-10.98,-6.94,-11.62,-4.76,-7.06,-12.26,,-11.53,-5.69,-15,-7,,-5.9,-7.06,-7.06,-9.7,-7,-5,-5.55,-18.31,,-6,,-10.41,-5.3,,-7.31,-9.4,-7.9,-12.56,,-7.81,-10.6,-9.4,-6,-14,-20.4,,-4.38,-10.3,-9.5,-6,,-1.5,-11.3,-5.97,-7.23,1.6,,-4,-3,-8.63,,-15.67,-13,,-5.39,-7.84,-7.81,,-9.4,-3.24,-5.45,,4.6301898573,31,23,1
Dallas,N.Y. Giants,7,6.51,7.69,6,6.98,8.05,,7,12.2,9.74,8,10.45,2.81,10.82,7.83,9.57,6.65,6.51,8.7,,8.93,3.29,11,7,,5.2,6.51,6.51,9.5,7,6,8.17,15.39,,6,,8.67,4.8,,7.89,8.4,7.99,9.74,,7.83,6.8,11.3,4,12,13.4,,4.6,9.7,9.5,8.25,,5,2.9,6.4,7.87,4.5,,6,10,8.59,,19.31,13.5,,6.3,6.53,6.97,,8.9,5.67,7.75,,2.9712617687,26,27,1
Denver,Baltimore,4.5,5.5,5.04,7,7.93,5.05,,4,9.64,3.74,8,4.95,1.35,4.22,2.87,0.79,2.8,5.5,4.61,,4.39,6.95,5,4.5,,5.3,5.5,5.5,1.9,4.5,4,5.43,6.66,,3,,8.26,6.5,,6.29,2.7,4.18,5.51,,4.95,12,5.1,6,4,3.1,,4.13,-0.2,4,4,,8,6.3,5.46,3.58,18.3,,4,1,5.12,,3.62,11.5,,5.13,5.01,3.97,,3.9,3.65,3.13,,2.8608376608,13,19,1
Houston,Kansas City,0,0.27,3.29,-1,-2.21,0,,0.01,4.76,-1.06,-5,3.88,-6.56,-3.98,2.44,0.91,2.64,0.27,-0.63,,-0.93,0.89,-1,0,,1.4,0.27,0.27,-0.6,0,1,-0.24,1.15,,-1,,-0.99,1.8,,0.09,-1.1,-0.72,-1.24,,0.12,-5.4,2,-3,2,1,,1.25,-0.7,2,1.5,,3.5,-1.8,1.7,0.23,-1.8,,2,4,-1.89,,-4.1,5.5,,0.12,3.19,-2.02,,0.1,1.4,0.76,,2.5118797474,27,20,1
Jacksonville,Carolina,-2.5,-2.59,-5.23,-3,-11.97,-4.38,,-1,-2.48,-5.56,1,-3.36,-12.06,-3.48,-2.87,-7.05,-1.66,-2.59,-3.6,,-3.36,-5.14,-9,-2.5,,-3.5,-2.59,-2.59,-9,-3,-4,-2.8,-8.71,,-5,,-6.17,-3.6,,-1.71,-2.8,-3.18,-6.03,,-3.36,-4.6,-5.1,-6,-3,-9,,-3.42,-10.5,-3,-0.25,,-0.5,-2.6,-4.26,-6.16,-1,,-1,1,-3.59,,-18.21,-2,,-2.26,-4.97,-0.69,,-2.5,-1.52,-3.24,,3.6425809198,20,9,1
N.Y. Jets,Cleveland,3.5,3.82,1.66,3,0.28,3.43,,4,10.5,5.54,-4,5.77,-0.98,3.22,-0.49,6.95,0.86,3.82,-0.86,,-0.88,-4.32,7,3.5,,3.6,3.82,3.82,4.8,3,2.5,0.46,7.48,,3,,1.38,4.2,,2.49,8,-2.45,2.15,,3.22,5.5,4.1,1,6,14.6,,2.32,4.4,-1,5.25,,3,1.5,4.41,-0.7,6.15,,5,4,1.6,,7.53,10,,1.98,1,1.5,,4.2,2.56,2.91,,3.1404002297,10,31,1
New England,Pittsburgh,8,6.03,7.91,8,11.85,8.64,,6,7.17,9.74,13,10.93,15.05,10.02,7.4,10.17,6.5,6.03,9.54,,9.94,15.73,15,8,,6.8,6.03,6.03,8.1,7.5,7,6.62,14.94,,7,,13.26,6.6,,8.09,8.1,4.03,13.7,,7.4,12,11.4,10,13,16.3,,5.94,8.4,10,7.25,,2,4.3,6.2,6.47,5.65,,7,9,9.74,,7.22,5,,6.45,5.67,6.07,,7.1,6.15,6.51,,3.1197178712,21,28,1
