Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,linecpa,lineexcel,linemore,linedunk,linecpa2,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linemds,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linest,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,lineps,linegametime,linedoi,linelinx,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Arizona,New England,8.5,1.37,2.91,2,2.52,4.56,,1,2.5,3.34,-1,0.61,9.08,6.32,2.7,4.02,2.7,1.37,8.13,16.89,11.59,2,8,,2.5,1.37,1.37,12.4,6,6,3.92,8,,2.16,,-0.86,-1.1,,5.26,11.8,6.94,4.82,3.2,3.34,5.4,7.1,1,2,-1.6,8.8,6.75,13.3,5.5,3.5,,4.5,7.7,6.74,3.34,9.2,,3,2.82,9.56,4.2,3.11,9.06,5.72,3.5,2.24,3.05,3.8382770375,23,21,1
Atlanta,Tampa Bay,2.5,2.8,5.05,5,5.23,4.11,,6,5,7.94,7,8.7,-1.42,3.12,5.63,5.67,4.94,2.8,-1.32,1.5,0,7,2.5,,3.2,2.8,2.8,2.5,3,3,4.03,10.28,,5.17,,4.36,3.4,,5.55,4.5,3.18,6.37,3.9,4.04,3.6,7.6,4,7,12.2,0.01,3.37,3.5,5,2,,0.01,2.1,3.92,3.34,6.6,,2,4.57,5.86,3.9,1.81,-2.47,0.81,2.6,4.05,4.05,2.755699071,31,24,1
Baltimore,Buffalo,3,2.69,-1.44,3,2.12,1.5,,5,-1,4.54,10,-5.03,5.89,7.02,-0.74,-1.07,0.11,2.69,0.44,2.86,4.31,-1,3,,3.7,2.69,2.69,1.9,3,2.5,-1.71,-5.86,,-0.2,,-1.21,4.4,,0.36,3.3,-0.64,0.42,1.7,1.63,0.1,2,4,1,-1.4,1.5,4.7,1.3,-3.5,4,,2,-3.8,3.78,-1.5,1.75,,4,2.01,0.32,1.14,-1.19,2.98,1.1,4.2,0.82,1.26,2.9375289554,7,13,1
Dallas,N.Y. Giants,-1.5,4.59,2.22,2,0.11,1.15,,2,1,2.54,1,-1.34,3.95,0.82,-0.61,0.3,0.13,4.59,3.43,-1,4.87,5,-1,,0.9,4.59,4.59,-2.7,0,4,-1.19,0.68,,-0.69,,1.05,1.9,,-1.95,-1.3,-1.65,-0.79,2.7,0.95,0.01,1.4,3,3,4.5,2.2,0.46,-3,0.5,6.5,,-0.5,-2.4,0.89,-2.54,-0.3,,4,1.56,2.58,0.87,-7.06,4.29,-7.03,3,1.99,0.49,2.4951048178,20,19,1
Denver,Carolina,-3,0.79,-0.46,3,1.68,0.06,,0.01,4,-2.86,12,2.2,-5.49,-2.28,-0.08,-3.12,0.32,0.79,-5.39,-1,0.42,-1,-2,,-1.6,0.79,0.79,-0.1,-3,2.5,0.36,3.42,,2.59,,-1.57,-0.1,,-0.75,-2.7,-4.71,0.63,2.3,-0.09,-1.8,3.9,2,1,4.2,-0.3,-3.13,-1,-1.5,-1,,0.01,-1,2.45,0.55,-0.85,,-1,1.47,3,-0.1,-6.84,-0.31,-0.53,-0.4,0.93,1.24,2.8829044641,20,21,1
Houston,Chicago,4.5,5.3,7.43,5,2.65,5.04,,8,4.5,11.04,-2,4.69,2.88,8.32,5.32,2.43,4.52,5.3,6.98,9.25,-3.77,6,4.5,,6.5,5.3,5.3,6.9,6,5,3.66,9.32,,1.68,,4.28,6.4,,4.05,10.8,1.87,2.08,6,4.94,3.8,3.1,5,7,4.3,3.8,5.43,7.1,7.5,5.5,,3,6,6.8,2.77,3.25,,4,2.53,5.96,4.27,1,4.18,4.25,8.2,4.39,4.88,2.4292728857,14,23,1
Indianapolis,Detroit,2.5,6.98,1.03,1,1.07,0.72,,8,0.01,3.74,6,-1.11,-3.2,4.52,1.68,-4.62,1.9,6.98,-10.84,-2.75,3.45,-3,2.5,,4.6,6.98,6.98,-0.7,3.5,4.5,0.7,-2.86,,-1.88,,-2.5,4.8,,2.66,2.6,-0.83,-4.34,4.3,1,-7.5,-2.7,-1,1,-10.9,3.6,4.27,-1.4,0.01,4.5,,1.5,7.6,7.93,-0.92,-3.1,,7,1.32,0.9,0.41,0.44,-11.39,-4.44,5,1.19,3.39,4.6255822659,39,35,1
Jacksonville,Green Bay,-4,-2.76,-4.62,-5,-9.29,-6.03,,-5,-4.5,-8.66,-11,-11.86,-13.79,-8.38,-1.52,-11.29,-0.68,-2.76,-5.23,-10.75,-6.08,-10,-4,,-5.4,-2.76,-2.76,-4.5,-4.5,-4.5,-4.78,-17.55,,-9.83,,-8.63,-6.2,,-7.34,-1.7,-7.77,-10.83,-3.8,-5.25,-10.1,-10.5,-5,-4,-14.9,-2.3,-5.27,-5.4,-6.5,-4.5,,7,-3.7,-2.54,-8.47,-8.25,,-2,-3.46,-7.25,-5.86,2.22,-2.89,-7.21,-4.3,-1.59,-4.75,4.3568370959,27,23,1
Kansas City,San Diego,6.5,8.39,12.1,8,11.66,9.58,,10,6,15.54,1,13.46,3.07,12.62,11.29,10.95,9.29,8.39,3.4,7,10.97,16,7.5,,8.2,8.39,8.39,8.6,6.5,7,11.4,15.16,,10.59,,13.34,9.4,,8.16,6.7,7.3,14.65,8.2,9.76,9.8,13.3,10,13,12.3,10.7,9.72,10.4,14,8.5,,3,12.2,9.09,10.61,12.75,,7,8.05,12.84,8.86,7.28,0.4,8.16,11,7.3,9.55,3.4765544174,27,33,1
N.Y. Jets,Cincinnati,-1.5,0.4,1.26,-1,-5.09,-1.47,,-1,1.5,-0.76,-4,-2.08,-4.91,-3.88,0.8,-1.49,1.1,0.4,-4.65,-6.25,-9.36,-3,-1.5,,-2.9,0.4,0.4,-1,-2.5,-1,-1.61,-0.35,,-3.37,,-5.28,-3.3,,-4.34,-2.9,-4.21,-6.13,-1.2,-1,-0.1,-3.2,-2,1,-0.4,0.3,-2.17,-0.7,-3,0.5,,4,6.1,0.41,-3.05,-6,,1,-0.14,0.7,-1.82,0.6,-4.88,2.73,-0.3,0.9,-1.05,2.5603140978,23,22,1
New Orleans,Oakland,3,-1.37,0.5,1,2.85,-0.22,,-1,2.5,-0.96,-7,-0.66,-2.32,-1.28,2.3,-0.81,2.19,-1.37,-4.25,-6.5,-13.07,-1,2.5,,-0.4,-1.37,-1.37,3.9,1.5,2,2.54,1.11,,-1.77,,-4.05,-1.9,,-0.65,6.7,-0.1,-4.26,0.8,-0.65,0.01,-1.3,-1,5,2.6,-3.2,-0.14,3.3,0.01,1,,4.5,-3.5,1.37,-1.3,-1.95,,0.01,0.8,2.59,1.13,5.06,-5.52,1.75,-1.6,2.37,-0.14,2.8227209805,35,34,1
