Home,Road,line,linesag,linepz,lineARGH,linekam,lineavg,linehanson,linepig,linenutshell,lineexcel,linemore,linedunk,linepyth,lineelo,lineeff,linesaggm,linel2,linel1,linel2h,linefox,lineca,linebihl,lineesp2,linesagr,linesagp,linepi,linemidweek,lineopen,linecurry,linejohns,linemass,linecoff,linetalis,lineesp,lineturner,linedonchess,linepim,linelog,linepugh,lineteamrank,linemed,linekerns,linejens,lineash,lineffw,lineburd,linecrunch,linedok,linepib,linecovers,lineround,lineclean,linewhatif,lineespn,linerwp,linedwig,linegametime,lineexcel2,linelinx,lineturner2,linestjohn,lineppg,linel2to,lineherbert,linefeng,lineiron,linekalin,linestd,rscore,hscore,week
Buffalo,N.Y. Jets,7.5,10.73,9.41,3,10.27,7.3,,5,12,7,10.44,1.65,11.19,3.93,8.05,10.73,11.27,10.08,8.68,7,7.5,,7.2,10.73,10.73,7.7,8.5,6,5.73,,5.98,,8.14,6.3,,6.59,9.6,2.15,10.28,8.1,7.1,8.3,8.6,5,7,1.9,7.1,7,7.9,6.5,,4,2.6,8.16,10.55,5.35,5,9,,,5.72,9.75,6.83,6.43,7.3,5.09,5.1,2.722674473,12,21,1
Chicago,Atlanta,-6.5,-6.83,-8.9,-2,-10.1,-8.17,,-7,-6,-16,-19.46,10.78,-9.06,-13.44,-5.36,-6.83,-8.15,-6.08,-9.53,-19,-6.5,,-5.4,-6.83,-6.83,-7.7,-7,-7,-24.01,,-9.91,,-13.48,-3.8,,-7.21,-6.4,-1.55,-15.78,-4.2,-7,-12.5,-11.7,-4,-9,-27.3,-0.6,-12.18,-8.5,-3.5,,-5.5,-9.9,-5.11,-11.25,2.55,-4,-14,,,-5.14,-14.67,-3.66,-4.82,-5.9,-4.22,-6.63,6.7925987813,23,17,1
Cincinnati,Baltimore,2.5,2.53,1.2,3,5.54,1.83,,3,3,1,6.52,-13.69,2.32,4.29,2.67,2.53,-2.14,0.08,4.73,6,2.5,,2.1,2.53,2.53,2.6,3,2,5.97,,4.99,,-1.85,1.2,,2.19,2,-4.9,2.32,3.3,2.53,2.7,4.9,0.01,4,8.5,2.8,6.1,2.9,3.5,,0.01,1.8,3.11,1.63,-10.75,2,5,,,2.65,2.23,-2.19,2.75,0.3,3.43,2.83,4.2659754441,20,0,1
Cleveland,Pittsburgh,-9.5,-11.26,-12.23,-5,-11.96,-8.65,,-9,-7,-19,-9.23,5.75,-8.99,-11.58,-4.53,-11.26,-7.09,-14.17,-3.69,-10,-9.5,,-7.2,-11.26,-11.26,-7.9,-9,-9.5,-17.25,,-10.09,,-9.03,-5.3,,-11.51,-8,-2.7,-12.21,-8.7,-9,-17,-12.7,-5,-8,-8.2,-9.4,-13.71,-7.3,-7,,-4,-11.7,-9.21,-12.3,2.45,-6,-13,,,-7.16,-5.39,-4.64,-8.34,-8.7,-3.5,-7.63,4.7912486081,21,18,1
Dallas,N.Y. Giants,4,5.08,5.2,3,4.84,5.87,,4,0.01,11,9.04,6.41,8.25,3.55,5.82,5.08,11.89,10.08,9.52,8,4,,3.2,5.08,5.08,5,4,6.5,4.93,,6.14,,6.09,2.9,,6.2,3.2,9.26,8.21,4.7,5.82,6.6,8.2,6,4,7.4,6.8,5.95,4.9,3.5,,7.5,2.8,6.19,8.06,5.65,3,7,,,3.99,9.59,10.97,-0.19,3.5,4.2,3.69,2.4247934985,3,19,1
Denver,LA Chargers,3,5.44,5.61,7,8,7.34,,8,3,23,8.81,25.53,5.82,7.85,4.69,5.44,9.52,7.58,6.7,7,4,,4.8,5.44,5.44,4.5,3.5,5,9.34,,7.51,,13.68,6.2,,5.79,5,3.78,6.8,5.8,5.81,3.1,10.2,9,6,11.2,-0.3,4.27,4.7,4,,-2.5,2.3,4.25,10.21,24.65,5,8,,,5.81,-2.81,4.67,4.89,3.3,3.64,5.61,5.9783551113,21,24,1
Detroit,Arizona,-2.5,2.86,-2.99,1,-2.22,0.2,,-1,-10.5,3,-5.44,8.75,-1.45,-1.73,0.15,2.86,5.26,4.42,9.09,-5,-2,,-0.7,2.86,2.86,1.1,-1.5,2.5,-6.5,,0.1,,0.78,0.2,,0.7,2.3,8.6,-2.28,0.8,0.8,-4.5,0.8,1,-3,-8.2,2.4,0.88,0.8,1.5,,-1.5,-3.8,3.36,3.58,5.8,3,-3,,,0.96,-5.16,4.09,0.78,1.2,0.07,1.75,3.8325284508,23,35,1
Green Bay,Seattle,3,4.42,7.02,2,3.69,3.47,,4,5,10,0.48,-0.47,2.37,6.04,2.71,4.42,-1.75,2.17,1.3,3,3,,2.6,4.42,4.42,3.8,3,3,7.54,,4.18,,0.33,2.1,,3.7,5.1,-2.96,3.17,2.5,3.17,3.7,2.6,0.01,4,8,1.3,1.61,3.6,3,,7,2.1,4.43,4.23,0.15,3,9,,,3.03,6.26,2.51,4.95,2.6,2.4,2.09,2.2826855737,9,17,1
Houston,Jacksonville,4.5,7.86,5.24,5,7.7,5.61,,9,4,20,6.63,2.94,4.48,3.57,3.81,7.86,5.08,6.58,16.11,7,4.5,,5.3,7.86,7.86,7.7,6,4.5,8.49,,6.63,,0.36,5,,5.7,8.4,7.4,5.54,5.8,5.54,5.1,9,2,6,0.9,1.5,5.82,7.2,4.5,,1.5,1.6,7.62,11.39,-3.35,6,12,,,5.98,0.13,2.8,0.6,4.6,3.47,5.4,3.4570240594,29,7,1
LA Rams,Indianapolis,3.5,-0.74,-10.05,-0.25,-4.99,-3.45,,-2,-2,-8,-8.14,2.52,-7.37,-9.71,-3.15,-0.74,-2.34,-2.01,-8.8,-11,2,,-0.1,-0.74,-0.74,-1.1,4,-3,-11.52,,-4.39,,-11.64,-3.6,,-2.71,-1.1,-4.47,-9.32,0.8,-2.3,-3.9,-7.6,-2,-4,-19.8,-0.4,2.46,-0.9,1,,-2.5,1,5.19,-7.46,2.5,2,-4,,,-1.18,-9.69,-2.44,3.92,-2.3,-1.81,-1.48,4.7319510107,9,46,1
