,year,name,grade,age,draft,prev.grade,model.weight,prev.attempts,last.grade,last.attempts,prior,posterior,pred,
2,2008,Aaron Rodgers,79.2,-5.250513347,24,61.14307692,536,43,66.1,28,73.52860382,73.18344656,68.98777582,
6,2008,Ben Roethlisberger,69.2,-3.498288843,11,74.64821002,469,873,81.7,404,73.52860382,73.94049434,74.07276112,
21,2008,Derek Anderson,55.7,-4.785078713,31,62.93255648,283,644,64.4,527,73.52860382,70.34583587,71.13050107,
24,2008,Drew Brees,81.9,-0.371663244,32,84.25468101,635,1206,84.6,652,73.52860382,78.30896195,81.28898932,
26,2008,Eli Manning,64.3,-2.34017796,1,68.493028,479,1051,70.8,529,73.52860382,71.45397027,72.81082178,
39,2008,Matt Cassel,62.5,-3.706365503,230,50.89148936,516,15,52.5,7,73.52860382,73.30447397,65.93635505,
48,2008,Philip Rivers,81.2,-3.268309377,4,77.76923077,478,920,79.5,460,73.52860382,75.14074299,76.1077999,
54,2008,Tom Brady,50.2,1.079397673,199,88.82723799,11,1094,93.2,578,73.52860382,79.98068778,79.9437257,
22,2009,Aaron Rodgers,87,-4.250513347,24,78.87740724,541,579,79.2,536,73.52860382,75.01824171,76.50532944,
31,2009,Alex Smith,71,-4.680355921,1,50.98187961,372,635,0,0,73.52860382,66.82266945,61.96795979,
61,2009,Ben Roethlisberger,85.3,-2.498288843,11,70.6077766,506,1342,69.2,469,73.52860382,72.1493814,72.78993716,
16,2009,Chad Henne,70.2,-5.83,57,67.3,451,12,67.3,12,73.52860382,73.47917046,68.66871954,
211,2009,Derek Anderson,49.4,-3.785078713,31,58.4004982,182,927,55.7,283,73.52860382,67.75037806,65.62036378,
241,2009,Drew Brees,88,0.628336756,32,82.55645231,514,1841,81.9,635,73.52860382,78.50324287,81.32071792,
25,2009,Drew Stanton,37.9,-4.68,43,62.9,51,17,62.9,17,73.52860382,73.4094962,68.84658431,
261,2009,Eli Manning,77.5,-1.34017796,1,65.55959864,509,1530,64.3,479,73.52860382,69.50465071,70.1111174,
32,2009,Joe Flacco,78.5,-5.375770021,18,65.3,499,428,65.3,428,73.52860382,71.70192206,71.75094979,
391,2009,Matt Cassel,59.7,-2.706365503,230,62.43690297,493,531,62.5,516,73.52860382,70.62870567,68.46691042,
40,2009,Matt Ryan,66.4,-5.707049966,3,78.8,451,434,78.8,434,73.52860382,74.71153347,75.36588423,
411,2009,Matt Schaub,84.3,-1.813826146,90,57.59171232,583,696,71.1,380,73.52860382,68.47756717,66.62593069,
481,2009,Philip Rivers,90.8,-2.268309377,4,80.26376635,486,1398,81.2,478,73.52860382,76.77765738,78.11586876,
51,2009,Ryan Fitzpatrick,61.4,-3.229295003,250,53.9,227,372,53.9,372,73.52860382,69.62804793,65.5162202,
541,2009,Tom Brady,74.6,2.079397673,199,86.98657078,565,1105,50.2,11,73.52860382,79.23726159,72.99844401,
23,2010,Aaron Rodgers,92.1,-3.250513347,24,85.11292135,475,1120,87,541,73.52860382,78.48067849,80.39576065,
33,2010,Alex Smith,61.2,-3.680355921,1,69.53823784,342,1007,71,372,73.52860382,71.92577233,71.63855539,
62,2010,Ben Roethlisberger,86.1,-1.498288843,11,81.29344466,389,1848,85.3,506,73.52860382,77.81457332,79.46654952,
10,2010,Brian Hoyer,60.6,-5.114989733,260,56.3,15,27,56.3,27,73.52860382,73.22397232,65.63219248,
161,2010,Chad Henne,68.4,-4.83,57,70.17703476,490,463,70.2,451,73.52860382,72.7380911,72.58720201,
212,2010,Derek Anderson,48.2,-2.785078713,31,53.24097874,327,1109,49.4,182,73.52860382,64.90500236,61.37719558,
242,2010,Drew Brees,88,1.628336756,32,86.15219434,658,2355,88,514,73.52860382,81.24029141,83.04705987,
251,2010,Drew Stanton,58.3,-3.68,43,40.17272727,119,68,37.9,51,73.52860382,72.08204795,67.74282218,
262,2010,Eli Manning,81.2,-0.34017796,1,74.06691984,539,2039,77.5,509,73.52860382,73.83875538,75.23728373,
321,2010,Joe Flacco,73,-4.375770021,18,75.79856551,489,927,78.5,499,73.52860382,74.39562256,75.50216726,
392,2010,Matt Cassel,68,-1.706365503,230,60.35673418,450,1024,59.7,493,73.52860382,68.18470742,65.51059455,
401,2010,Matt Ryan,84.7,-4.707049966,3,69.17783895,571,885,66.4,451,73.52860382,71.91416906,72.449887,
412,2010,Matt Schaub,84.4,-0.813826146,90,79.10628003,574,1279,84.3,583,73.52860382,76.09565955,77.25859586,
42,2010,Matthew Stafford,81.8,-7.43394935,1,45.3,96,377,45.3,377,73.52860382,67.85882031,67.18627304,
482,2010,Philip Rivers,91.4,-1.268309377,4,87.75858435,541,1884,90.8,486,73.52860382,81.45096887,83.38036256,
511,2010,Ryan Fitzpatrick,66.9,-2.229295003,250,58.9280567,441,599,61.4,227,73.52860382,69.36198747,63.65594398,
542,2010,Tom Brady,83.8,3.079397673,199,75.95245108,492,1670,74.6,565,73.52860382,74.8055202,74.06918338,
27,2011,Aaron Rodgers,93,-2.250513347,24,89.94797051,502,1595,92.1,475,73.52860382,81.99028068,83.57190871,
35,2011,Alex Smith,78.6,-2.680355921,1,63.37099819,445,1349,61.2,342,73.52860382,68.7189829,67.76147692,
63,2011,Ben Roethlisberger,75.5,-0.498288843,11,84.42159785,513,2237,86.1,389,73.52860382,80.04924274,80.67943088,
101,2011,Brian Hoyer,68.5,-4.114989733,260,59.09220779,1,42,60.6,15,73.52860382,73.13539459,65.40448996,
162,2011,Chad Henne,75.1,-3.83,57,68.78690891,112,953,68.4,490,73.52860382,71.68643698,71.84300723,
17,2011,Chase Daniel,47.2,-5.097878166,260,48.1,5,3,48.1,3,73.52860382,73.47784812,65.65437871,
19,2011,Colt McCoy,56.5,-5.01026694,85,75.3,463,222,75.3,222,73.52860382,73.75697197,70.84160349,
213,2011,Derek Anderson,58.1,-1.785078713,31,49.33709969,0,1436,48.2,327,73.52860382,61.69651937,59.38760808,
243,2011,Drew Brees,93.9,2.628336756,32,87.51611588,657,3013,88,658,73.52860382,82.86704251,86.40421218,
263,2011,Eli Manning,87.3,0.65982204,1,79.17062621,589,2578,81.2,539,73.52860382,77.09533597,79.16953181,
322,2011,Joe Flacco,65.2,-3.375770021,18,73.77780633,542,1416,73,489,73.52860382,73.64961574,74.5676129,
331,2011,Joe Webb,43.9,-5.2,199,49.1,63,89,49.1,89,73.52860382,72.16035603,65.999209,
