,X,Down,Score,Seconds,Spread,TIMO,TIMD,TOTp,Yardline,YTG,AdjustedScore,win_probs
1,1,0,0,3600,9,3,3,0,65,0,0,0.277393954
2,2,1,0,3595,9,3,3,0,27,10,0,0.250381332
3,3,2,0,3589,9,3,3,0,27,10,0,0.24417808
4,4,3,0,3554,9,3,3,0,35,2,0,0.26649034
5,5,1,0,3532,9,3,3,0,43,10,0,0.273906261
6,6,2,0,3506,9,3,3,0,46,7,0,0.260829213
7,7,1,0,3482,9,3,3,0,65,10,0,0.278533693
8,8,2,0,3455,9,3,3,0,70,5,0,0.282414797
9,9,1,0,3444,9,3,3,0,86,10,0,0.31995487
10,10,1,0,3441,9,3,3,0,98,2,0,0.383983681
11,11,1,0,3437,9,3,3,0,98,2,0,0.384498341
12,12,2,0,3432,9,3,3,0,98,2,0,0.387609284
13,13,0,6,3428,9,3,3,6,85,0,0.102463104,0.511714337
14,14,0,-7,3428,-9,3,3,7,65,0,-0.119540288,0.638635752
15,15,1,-7,3428,-9,3,3,7,25,10,-0.119540288,0.638124933
16,16,1,7,3420,9,3,3,7,68,10,0.119679979,0.421853615
17,17,2,7,3415,9,3,3,7,68,10,0.119767534,0.419813067
18,18,3,7,3381,9,3,3,7,71,7,0.120368054,0.433666811
19,19,1,7,3338,9,3,3,7,81,10,0.121140631,0.489383281
20,20,2,7,3334,9,3,3,7,81,10,0.121213257,0.491376166
21,21,3,7,3293,9,3,3,7,80,11,0.121965287,0.504245646
22,22,3,7,3289,9,3,3,7,85,6,0.122039408,0.50556824
23,23,4,7,3274,9,3,3,7,90,1,0.122318568,0.499131432
24,24,1,-7,3265,-9,3,3,7,10,10,-0.122486986,0.631003729
25,25,2,-7,3228,-9,3,3,7,19,1,-0.123186756,0.650771963
26,26,1,-7,3185,-9,3,3,7,23,10,-0.124015267,0.647574907
27,27,1,-7,3158,-9,3,3,7,37,10,-0.12454412,0.663629687
28,28,2,-7,3125,-9,3,3,7,45,2,-0.125199776,0.67652142
29,29,1,-7,3094,-9,3,3,7,50,10,-0.125825224,0.665050953
30,30,2,-7,3051,-9,3,3,7,59,1,-0.126708507,0.674515941
31,31,1,-7,3013,-9,3,3,7,62,10,-0.127504765,0.677431645
32,32,1,-7,2971,-9,3,3,7,73,10,-0.128402547,0.710966582
33,33,1,-7,2936,-9,3,3,7,91,9,-0.129165362,0.768535288
34,34,2,-7,2927,-9,3,3,7,91,9,-0.129363722,0.763684156
35,35,3,-7,2890,-9,3,3,7,93,7,-0.130188911,0.747495121
36,36,0,-1,2883,-9,3,3,13,85,0,-0.018620973,0.7405059
37,37,0,0,2883,9,3,3,14,65,0,0,0.271515402
38,38,1,0,2883,9,3,3,14,25,10,0,0.25267138
39,39,2,0,2852,9,3,3,14,28,7,0,0.250605933
40,40,1,0,2825,9,3,3,14,55,10,0,0.26109578
41,41,1,0,2796,9,3,3,14,70,10,0,0.267646452
42,42,1,0,2770,9,3,3,14,83,10,0,0.312503817
43,43,1,0,2742,9,3,3,14,88,5,0,0.327775467
44,44,2,0,2737,9,3,3,14,88,5,0,0.32171576
45,45,3,0,2723,9,3,3,14,92,1,0,0.360462929
46,46,4,0,2700,9,3,3,14,92,1,0,0.368134691
47,47,0,-3,2696,-9,3,3,17,65,0,-0.057767129,0.699182307
48,48,1,-3,2691,-9,3,3,17,45,10,-0.057820751,0.714992017
49,49,2,-3,2684,-9,3,3,17,45,10,-0.057896073,0.712316316
50,50,3,-3,2647,-9,3,3,17,49,6,-0.058299156,0.726081715
51,51,4,-3,2602,-9,3,3,17,46,9,-0.058800927,0.695684741
52,52,1,3,2597,9,3,3,17,18,10,0.058857482,0.341869413
53,53,2,3,2569,9,3,3,17,22,6,0.059177238,0.360561268
54,54,3,3,2529,9,3,3,17,26,2,0.059643208,0.362747384
55,55,1,3,2491,9,3,3,17,48,10,0.060096231,0.375100594
56,56,2,3,2483,9,3,3,17,48,10,0.060192927,0.374984294
57,57,3,3,2444,9,3,3,17,48,10,0.060671094,0.372556863
58,58,1,3,2397,9,3,3,17,64,10,0.061262775,0.403396499
59,59,1,3,2357,9,3,3,17,80,10,0.061780206,0.426650803
60,60,2,3,2318,9,3,3,17,89,1,0.062297538,0.483132192
61,61,1,3,2295,9,3,3,17,93,7,0.06260879,0.491619878
62,62,2,3,2262,9,3,3,17,95,5,0.063063632,0.513453128
63,63,1,3,2251,9,3,3,17,98,2,0.063217463,0.533104209
64,64,0,9,2247,9,3,3,23,85,0,0.189821043,0.564546797
65,65,0,-10,2247,-9,3,3,24,65,0,-0.21091227,0.629942857
66,66,1,-10,2242,-9,3,3,24,23,10,-0.211147218,0.63462091
67,67,2,-10,2207,-9,3,3,24,26,7,-0.212814133,0.637163112
68,68,1,-10,2171,-9,3,3,24,36,10,-0.214570538,0.655074073
69,69,2,-10,2129,-9,3,3,24,37,9,-0.216675695,0.646311533
70,70,3,-10,2085,-9,3,3,24,41,5,-0.21894894,0.632635713
71,71,4,-10,2037,-9,3,3,24,29,17,-0.221512332,0.569361108
72,72,1,10,2024,9,3,3,24,40,10,0.222222222,0.534917601
73,73,2,10,1986,9,3,3,24,44,6,0.224337082,0.539233237
74,74,3,10,1979,9,3,3,24,44,6,0.224733287,0.540365355
75,75,4,10,1975,9,3,3,24,44,6,0.224960635,0.550642899
76,76,1,-10,1967,-9,3,3,24,8,10,-0.225417409,0.531408317
77,77,1,-10,1949,-9,3,3,24,4,14,-0.226455407,0.515821978
78,78,2,-10,1927,-9,3,3,24,11,7,-0.227743759,0.522303275
79,79,1,-10,1920,-9,3,3,24,20,10,-0.228158324,0.523825842
80,80,1,-10,1893,-9,3,3,24,34,10,-0.229778829,0.54217989
81,81,1,-10,1890,-9,3,3,24,47,10,-0.229961025,0.577287407
82,82,2,-10,1861,-9,3,3,24,54,3,-0.231744887,0.576089991
83,83,3,-10,1857,-9,3,3,24,54,3,-0.231994209,0.57194712
84,84,1,-10,1849,-9,2,2,24,66,10,-0.232495277,0.558337187
85,85,2,-10,1845,-9,2,2,24,70,6,-0.232747032,0.558271455
86,86,3,-10,1837,-9,2,2,24,71,5,-0.233253004,0.543569323
87,87,1,-10,1828,-9,2,2,24,79,10,-0.233826187,0.603877653
88,88,1,-10,1823,-9,2,2,24,99,1,-0.234146453,0.587993245
89,89,2,-10,1817,-9,1,1,24,97,3,-0.234532515,0.552364233
90,90,0,-4,1813,-9,1,1,30,85,0,-0.093916381,0.586272858
91,91,0,3,1813,9,2,2,31,65,0,0.070437286,0.564034643
92,92,1,3,1808,9,2,2,31,18,10,0.070534562,0.479781139
93,93,0,NA,1800,NA,1,NA,NA,82,0,NA,NA
94,94,0,-3,1800,-9,3,3,31,65,0,-0.070691044,0.655843903
95,95,1,-3,1800,-9,3,3,31,25,10,-0.070691044,0.603690859
96,96,1,-3,1763,-9,3,3,31,35,10,-0.071428571,0.61875739
97,97,1,-3,1737,-9,3,3,31,25,20,-0.071960864,0.544352944
98,98,2,-3,1701,-9,3,3,31,32,13,-0.072717925,0.574709704
99,99,3,-3,1654,-9,3,3,31,40,5,-0.073743247,0.629853846
100,100,4,-3,1619,-9,3,3,31,44,1,-0.074535599,0.651317708
101,101,1,3,1613,9,3,3,31,17,10,0.074674013,0.419969588
102,102,2,3,1606,9,3,3,31,17,10,0.074836474,0.419243371
103,103,1,3,1553,9,3,3,31,28,10,0.076101943,0.435637751
104,104,2,3,1523,9,3,3,31,30,8,0.076847328,0.433493517
105,105,3,3,1483,9,3,3,31,26,12,0.07787612,0.426909925
